text,label,file_line_number,label_id
دعاء الخروج من البيت: يقدم الرجل اليمنى: بسم الله توكلت على الله لا حول ولا قوه الا بالله #أدعية,OBJ,79,3
حرية التعبير لا تتضمن التحريض على العنف و الفتنة الطائفية بل هو خطاب كراهية,NEG,90,0
قصدي كان موجه لكذبك أني ما كنتش هناك,NEG,91,0
علاء الأسواني يروى عن شباب الثورة: المصريين ما كانوش كفار قبل ما يحكمهم الإخوان >> المقال كاملاً >> …,OBJ,105,3
"#اليوم_السابع | أستاذ بـ""حقوق #القاهرة"": تشرفت بالتدريس للرئيس #عدلى_منصور",OBJ,107,3
مؤتمر الدفاع عن الدستور، يوم الأحد 9 سبتمبر في الساعة 6 مساء، ساقية الصاوي، نرجو الحضور ونشر الدعوة,OBJ,111,3
الهتافات تتصاعد فى المحلة ضد الإعلان الدستورى والرئيس مرسي,OBJ,121,3
نعتذر عن تأجيل الملتقي الشهري للوسط وكان مفترض استضافه المستشار البشري لظروف خاصه __,OBJ,129,3
هذا هو حال جمهور الهلال وهو يناضر جمهور النصر يحتفل بالكاس #النصر_الهلال,OBJ,132,3
الأسماء المقدمة من وفد الأمهات هي لأشخاص كانوا في محيط الداخلية وهناك بالتأكيد تشابه في الأسماء هاني لوقا المقصود أخذ من حول الداخلية,OBJ,134,3
منهج الانقلاب قتل وقمع وسجن اى معارض اعلام فاسد وقضاء مسيس ارتفاع للاسعار واقتصاد ينهار عزلة دولية وشحاتة خليجية,NEG,135,0
نفسي فيه و تفوو عليه ! #فيفي_عبده =)),NEG,144,0
الرسالة رقم 23 من الجزء الاول لكتاب رسائل سجين سياسى الى حبيبته,OBJ,146,3
عرض الاسبوع 44 ألف متابع #أذكار_المساء #بصراحه_مليت_من #خد_موقف_من #علمتني_الحياة #الحياة_تحتاج_إلى_شيئين [918324],OBJ,160,3
من ترك شيئًا لله عوضه الله خيرًا منه,OBJ,162,3
"انها قضية كل انسان فى كل زمان و فى أى مكان , "" الشكل و المضمون "" , قضية الانسان فى كل العصور , قضية وجوده …",OBJ,170,3
ربنا يبارك فيكم,POS,176,1
عمرك شوفت إستفتاء على دستور يطيح بالمبادئ الدستورية (المساواة وتكافؤ الفرص) في قواعد مرحلة الإقتراع وإدارتها؟,NEG,189,0
73765287 لا أعتقد :))),OBJ,193,3
ما رأيكم في حلقة أمس مع عمرو الليثي ؟؟؟,OBJ,203,3
5 ألم أقل لكم إنها ممارسة فاضحة لازدواجية المعايير وتخوين المعارضين أملي أن لا تبتلع بعض قطاعات الرأي العام الطعم مجددا,NEG,204,0
"الاعلامي محمد فودة يعقد مؤتمرا جماهيريا غدا بمدينة #زفتى بحضور الفنانة #غادة_عبدالرازق لدعم المرشح #عبدالفتاح_السيسي # إلعب ياسيسي:)""",POS,221,1
لم ادعم مرسي وقاطعت الانتخابات اعتراضا على عدم عزل شفيق وعدم محاكمته لكن مرسي الفائز طبقا لتقارير القضاة المستقلين الثورة إخلاص للحقيقة,NEUTRAL,229,2
الحب اللى بيبقى ف #النور قدام #ربنا #احلى #بكتر من الكلام ف الموبايل بليل وانك #تستخبى من #اهلك,NEUTRAL,233,2
المسار,OBJ,237,3
نتمنى لرئيس الوزراء الدكتور عصام شرف الشفاء العاجل كما نتمنى ألا يكون مرضه مرضا سياسيا,NEUTRAL,242,2
) #حتوتة #عمان #وسط_البلد #7,OBJ,251,3
بنك التنمية والائتمان الزراعي يواصل تسلم محصول #القمح من المزارعينووزارة الزراعة تخصص 10 مليارات جنيه للتوريد #…,OBJ,252,3
لابد من حملة إنتخابية على الارض تتواصل مع الناخبين والناخبات ولا تعتمد فقط على الصحافة والتليفزيون,NEUTRAL,259,2
"إذا تتوقع إنتصار #تشيلسي اليوم ضد ليفربول "" ريتويت"" #ليفربول_تشيلسي",OBJ,260,3
اردوجان مستمر في نهجه ويحاول أن يلوث المد الثوري المصري #يوسف_الحسيني #السادة_ال…,NEG,264,0
في الاسكندرية مع فريق عمل لجنة جمع المعلومات والادلة وتقصي الحقائق الخاص بجرائم قتل واصابة ثوار الاسكندرية من يناير 201,OBJ,265,3
هنلف ونرجع لنفس النقطةلما تقول إن كل اللي قالوا لا ثورة مضادة يبقى ماتكلمنيش عن التفكير العلمي والمنطقيبس كده,NEG,266,0
#حمدين_صباحى بيقول برنامجة هيتحقق في ٩ شهور ، بس مقالش هيبقي طبيعي و لا قيصري و في مستشفي اية !!!! الرحمة يا رب,NEG,268,0
فيديو #رونالدو يخطف الأنظار بهدفين من طراز الكبار #صدى_الملاعب,OBJ,292,3
(شمس الحريه بتنادي) يا وطني يا وطني الغالي يلي خنوك و… #انتخبوا_العرص #ريتويت,NEUTRAL,294,2
من بوابة الأهرام الأسلوب الحقير للصهاينه استخدم من قبل مع اخرين,NEG,297,0
البرود #اسلوب_حياة,NEG,299,0
#مكملين | #تغطية_خاصة | مظاهرات حاشدة في #عرب_الرمل ب #المنوفية في جمعة #زواج_أمريكا_من_مصر_باطل,OBJ,303,3
ان اللون الرمادي ليس له محل من الاعراب يا ابيض يا اسود #علمتني_الثورة,NEG,307,0
أثار تخريب كنيسة مارجرجس وحرق بيوت الأقباط بقرية دلجا بعد اعتداء الإخوان #السادة_المحترمون …,NEG,311,0
لا شيء يبرر إحالة المدنيين للقضاء العسكري حتى البلطجية القضاء المدني كفيل بهم,NEG,312,0
كيف يمكن التعامل مع الأحداث الجارية على المستوى النفسي,OBJ,315,3
يامن تتحدث باسم الاسلام ثم تلقى على من يخالفك في الراى بصندوق قمامة من البذاءات كثيرون ممن تشتمهم اكثر اسلاما منك لانهم مهذبون,NEUTRAL,318,2
#مصر_القوية |10-لقد حذرنا في حزب مصر القوية ولا زلنا نحذر من خطورة تحول سلطات الدولة إلى مجرد سند لسلطة عسكرية لا تفهم الس…,NEG,321,0
لا يستطيع الرئيس مرسي ان يتنصل من مسئوليته عن الغاء عرض مسرحي على مسرح الدولة هل قرار الأمن أقوى من الرئيساين وعود الرئيس عن حرية الإبداع,NEG,327,0
حمزاوى:البرلمان سيحاسب العسكريين المتورطين بقتل الشهداء,OBJ,329,3
وافق #وزير_الداخلية على صرف علاوة مكافحة الإرهاب لمنسوبي الجوازات من ضباط وأفراد بنسبة 25% من الراتب لأول مربوط #السعو…,OBJ,330,3
# #تصبحون_على_وطن #وقت_النوم #غداً_نلتقي #تدوين #مفيد,OBJ,335,3
شاهد - آخر كلام: هؤلاء الحالمون القادرون على العزف و الغناء,OBJ,342,3
لذا يلزم التوضيح,OBJ,355,3
د أبو الفتوح : رقابة الدولة على الأفكار يحول الناس الى مؤمنين منافقين وهذا ما لانريده ولا نقبله,NEG,358,0
كل شي نصيب بهل الدنيا وراضي انا وقلبك ازا في بعدي هني بنسى العنا :( كل شي نصيب #محمد_رمضان,OBJ,359,3
ليه بتتحمرشوا بالبنات؟ #المواطن_المصري,OBJ,370,3
بسمة أمل - قصة سقراط مع النميمة: في هذه الأيام وللأسف كثرت الشائعات والنميمة وأصبح الكثير -إلا من رحم ربي من,NEG,371,0
909 ألف شكر,POS,378,1
شاهد - آخر كلام: الخلاف حول وثيقة المبادئ الأساسية للدستور د محمد البلتاجي و د عمرو الشوبكي #,OBJ,394,3
ولما تبص #حواليك هتعرف انك #احسن من ناس #كتير عشان كده #لازم تقول #الحمد_لله,POS,400,1
نريد أن ننتقل من الميدان إلى برلمان يحاسب السلطة التفيذية #,OBJ,406,3
_ ميز حسابك باقل الاسعار #الهلال #الاتحاد #النصر #الاهلي #الشباب #تبادل_رتويت 58,OBJ,408,3
كنت واثق ان احداث #رابعة والدماء التي سالت سوف تكون لها اثارلكني لم اتخيل ابدا انها تصبح وقود يلهب مشاعر الملايين وتحي…,NEUTRAL,410,2
مرسي موحد الفتن,NEG,411,0
"أخر ما كتبه شهيد اليوم بإذن الله ""عبد الرحمن احمد "" هذه هى نوعية الشباب الذين يقتلهم السيسي حسبنا الله و نعم الوكيل …",NEG,414,0
استمرار تطور وتجديد كوادر التنظيم المسلح لجماعة الإخوان الإرهابية #السادة_المحترمون …,NEG,416,0
#اللى_رافضين_السيسى_رئيس_بيعملوا_فولوا_لبعض #مرسي_رئيسي #انتخبوا_العرص #سيناء_خارج_التغطية #سأنتخب_السيسى …,NEUTRAL,418,2
"#العربي_الجديد | ميديا | ارتفاع عدد مستخدمي ""#واتس_آب"" و700 مليون رسالة يومية …",OBJ,422,3
7 ماله سمك إسكندرية يافندم؟ طب والله من غير مبالغة لفيت العالم مالقيت مثيله وأتوسل إليكي ماتحطميش أسطورتي الخاصة,POS,424,1
#بصـراحـه #عن ناس بيبقى نفسك تقولهم يلا المركب اللى تودى و يا ريت تتقلب و هى بتودى ! #رخامة,NEG,433,0
كوفيه ستوك سيتي عاملة زي الكوفية بتاعتنا #أولد #وايت_نايتس,OBJ,447,3
جمعة: الأهلي بحاجة لـ5 لاعبين,OBJ,448,3
_96 سامي يعبث بتاريخ الزعيم جعل اكبر افراحنا الفوز ببطولة اولمبي #ارحل,NEUTRAL,449,2
هل تعلم؟ #نيوكاسل يتفوق بالمواجهات المباشرة على #ارسنال في تاريخ الدوري الممتاز الانجليزي؟ بعد قليل أرقام واحصائيات للفر…,OBJ,450,3
مدير جامعة الإمام يستنكر الثناء على #أردوغان ويعتبر #تركيا دولة فاسدة فاسقة فاجرة تنشر الرذيلة #عسير #السعودية # #,NEG,451,0
خبر { مدريدي } : - سواريز انتقل لريال مدريد بقيمة 80 مليون - هازارد قريب جدا من التوقيع للريال المصدر : غاياردو { وكيل #الفيفا },OBJ,452,3
فالانتقاص من صلاحيات البرلمان المنتخب واعطاء صلاحيات تشريعية لمجلس استشاري معين هما أمران ينبغي على كل مؤمن بالديمقراطية أن يرفضهما,NEG,464,0
شارك في الاستفتاء على صفحة كلنا خالد سعيد,OBJ,465,3
بتر أصابع يد طفل بعد إطلاق النار عليه من أحد أنصار مرسي في اعتصام رابعة …,OBJ,469,3
#التحرير | حملة صباحى تنظم سلسلة بشرية بالسويس لدعمه فى انتخابات الرئاسة العشرات من أنصار وأعضاء حملة حمدين صباحى,OBJ,470,3
"أحسن حاجة في أغنية #السكة_شمال هيا ""ايه ايه ايه ايه "" اللي أمير بيقولها قبل ما بيغني علي طول !",POS,474,1
"نحن بحاجة إلى وسطية في المعاملات واعتدال في المواقف و الا تعرضنا لعوامل هدم المجتمعات الكبرى"" #مصر #تونس #لبنان #الإمارات #فلسطين",NEUTRAL,479,2
عايزه اعمل مجتمع ربعاوى بعيد عن الفلول و اللى عايزهم #فلول # شعب بلا اخلاق #ستحاسبووون,NEG,485,0
#الحكومة لا تلتـزم بـ القـانون للأسف #حقيقة,NEG,487,0
بيان لبعض الشخصيات العامةمنهم #ممدوح_حمزة و #سكينة_فؤاد و #فريدة_الشوباشي و #خالد_يوسف و #محمد_غنيم يطالبون فيه الرئيس بالإفرا…,OBJ,488,3
#6ابريل صباح الغباء # خلطة نقاء وغباء ثوري النتيجه حزب وطني #نيولوك #الحرية_للمعتقلين #ماهر #دومه #عادل # #…,NEG,494,0
شارك بتعليقك ؟ #وزير_التموين: ندعم إنتاج 270 مليون رغيف يوميا بمعدل 3 أرغفة لكل مواطن,OBJ,495,3
يمكنكم متابعة البث الحي عبر,OBJ,504,3
خلي بالك من لغاليغك!,OBJ,507,3
كلما اقترب موعد بدء الحملات الانتخابية، كلما تغيرت لغة الحوار والخطاب بين الأحزاب والسياسيين وأصبحت أكثر عنفا لفظيا,NEG,512,0
#جبهة النصرة اقتحام كتيبة 74جانب تل الجابية و مقتل أكثر من 70 من جنود الاسد 26 04 2014 قاسي جدا +18,OBJ,517,3
الإخوان ليس لديهم إلكترون وطنيةجريدة الدستورقال الإعلامى يوسف الح #الاخوان #يكفي,OBJ,520,3
شاهد - آخر كلام: مناظرة بين حملات مرشحي الرئاسة #,OBJ,530,3
الدراما المصرية في تقدم مبهر مسلسل #نيران_صديقة راااائع جداً جداً,POS,536,1
الوزراء اغلبهم أكاديميين من حملت الدكتوراه نتمنى #مجلس_الوزراء يجمع الأكاديمي والناجح من القطاع الخاص,NEUTRAL,551,2
واضح ان بالنسبة لهم لحوم العلماء مسمومة الا لو كانت لحوم المفتي و شيخ الازهر,NEG,567,0
عبد المنعم أبو الفتوح فى علمتنى الحياة الجزء الاول,OBJ,569,3
قسمٌ مني ووعدٌ لا نجوت إن نجا :)) #سنحيا_كراما #القدس_لنا #لنا_عودة,OBJ,570,3
هاتها جمايل يارب واسترها معانا انا واحد مش مذاكر اى حاجه فى اى حاجه #اﻻمتحانات,OBJ,579,3
قلب الوطن مجروح لا يحتمل دين ام #عسكر #منير,NEG,587,0
عمال #مترو أنفاق #لندن يحضرون لإضراب ليومين بسبب تخفيضات مزمعة في #الوظائف #إضراب,OBJ,595,3
تريكه معانا كل رمز حلو فى مصر من شعبنا وشعبهم بيادة وطرطور وبلاوى ومطرب ورقاصة,NEUTRAL,602,2
#غرد_بطولك #امك_في_كلمتين #الانستقرام #جملة_اذا_قلتها_لاتصدقني #القنفذة #خميس_مشيط #حفر…,OBJ,623,3
شاركوا معانافى الهاشتاج ده #محبي_حازم_عبدالعظيم_ضد_الخونه عايزينه تريند #ريتويت #جيش_تويتر #سأنتخب_السيسي #باسم_طلع_حرامى #ا…,NEUTRAL,627,2
شاهد - آخر كلام: البرلمان و تسليم السلطة و مليونية المطلب الواحد,OBJ,635,3
_ ولغايه ماتبنوا الكنايس جوامعنا وبيوتنا وقلوبنا وعيوننا مفتوحه ليكوا تنوروها وتنورونا,POS,639,1
عبد المنعم ابو الفتوح,OBJ,657,3
"#نبض_الاخوان ا #بني_سويف 25-4 انتفضت قرية شريف باشا بمركز بنى سويف تضامنا مع أحرار #الميمون خرج أهالى قرية ""شريف",OBJ,661,3
#ناشرون_الأخبارية : #حمدي_قنديل قانون الطعن فى العقود دا خلانا طراطير والشعب طرطور والحكومه ومجلس الدوله والشعب طرطو,NEG,663,0
اسألوا #البرادعي عما فعله في #العراق #البرادعى_طلع_جاسوس #باسم_طلع_حرامي …,NEG,666,0
ممنوع التصوير و الاقتراب,OBJ,668,3
لن أمل من تكرارها: أيام كان رئيسكم مرسي يحسن أحسنت أنا وغيري إليهلكنه منذ أن بدأ الكذب وإخلاف الوعود وتسبب في إسالة الدماء لا يستحق الإحسان,NEG,681,0
#حلاوتك_وانت عامل نفسك دكر و راجل قدام امك و بتبقى مرمطون و شخشخية ف ايد البنت بتاعتك #استرجل,NEG,683,0
ماليش دعوة,OBJ,686,3
أشعر بالشفقة على من يصف فبركات السيسي يوم30 يونيو بثورة حشد مرتب لمدة ست ساعات لتبرير عملية الخيانة والغدر والإنقلاب على أو…,NEG,687,0
اخر اتنين ريتويت تعبر عن شيزوفرينيا التايم لاين عندي:),OBJ,690,3
التظاهر شيء والإرهاب شيء آخر,OBJ,692,3
إن كان من عادوا للتأسيسية يرون في هذا عملا وطنيا فهذا لهم ولا يحق لا لي ولا لغيري رغم اختلاف الموقف والتقدير المزايدة على وطنيتهم,NEUTRAL,693,2
حفل خيري يذهب دخله لمساعدة الأطفال في عزبة خير الله....,OBJ,695,3
الحملة فـ الحضرة الجديدة !! #بلغ,OBJ,702,3
__ من اليمن صنعاء #سوريا_فى_القلب,OBJ,705,3
المثير في الموضوع إن مرسي متصور وهو بيقول جرينوف,OBJ,710,3
3 #محمد_محسن,OBJ,711,3
مقال د علاء الاسواني بعنوان لماذا فاز محمد مرسي ؟! ينشر صباحا بجريدة المصري اليوم,OBJ,716,3
لماذا تحول الباحث المتميز في العلوم السياسية من تأييد مرسي إلى معارضتهمقال رائع لا ينصح بقراءته لجميع أنواع الخرفان,NEUTRAL,726,2
الوطن | خواطر للوطن | عمرو حمزاوي:,OBJ,729,3
شاهد - آخر كلام: مصر فوق قانون الطوارئ أخيراً #,OBJ,737,3
الليلة11مساء نستمرفي كشف إغراض الجزيرة وحملتها الداعمة لتنظيم الاخوان الإرهابي مستخدمين تقاريربعدسة الجزيرة نفسها #مصر #الإمارات #لبنان #قطر,NEG,740,0
لا أعرف لم يعرضون المبالغ على الطفل #فيصل_الغامدي لإغراءه ببيع هدية #الملك ألا يدركوا أنها لا تباع ولا ترد خاصة أنها جاءت من والد الجميع,NEG,751,0
+ يا غزة انت فخر لينا #انتخبوا_العرص #ريتويت,NEUTRAL,752,2
وزير الداخلية شخصيا يعرف الذين اعتدوا على د أبو الفتوح ويخشى الاقتراب منهم,OBJ,753,3
#2 اسكندرية مساء الفل عليكم يا اسكندرانية معادكم مع نشرة (4) عصرا ريزو بيقولك : نبدأ,OBJ,754,3
#انتخبوا_العرص #الببلاوي القاتل اعترف رسميا بانقلاب العسكر على #الرئيس #مرسي,NEG,759,0
بث تليفزيون اسرائيل لاغنية تسلم الايادى هو الحدث الاول من نوعه فى التاريخ العار يكسو كل مصرى وعربي ومسلم,OBJ,766,3
هذا ماكسبتم لأنفسكممقال اليوم في الشروق مع خالص الأسى,OBJ,768,3
"الشاهد — #مفاجأه تقجرها "" #رويترز"": قصة #أسرة ناقوس ينذر #بتصاعد خطر #التشدد في #مصر التفاصيل",OBJ,773,3
د علاء الأسواني: ما الذي تميز به الأعلام المصري تحديدا في هذه الأيام ؟!> أقرأ المقال كاملاً >> …,OBJ,774,3
#الأردن_ينتفض وقريبا #الجزيرة_تنتفض #بلاد_الحرمين_تنتفض #الجزائر_تنتفض #العراق_تنتفض,OBJ,775,3
ﺗﺨﻴﻠﺖ؟؟ﺇﺣﺴﺎﺳﻚ ﺇﻳﻪ ﺑﻘﻲ!!ﺧﻠﻴﻚ ﺭﺍﺟﻞ ﻭﻗﺪﺭ ﻣﻌﺎﻧﺎﺓ ﺍﻟﺒﻨﺖ ﻓﻰ ﻣﺠﺘﻤﻌﻨﺎ ﺩﺍﻓﻊ ﻋﻨﻬﺎ ﻭ ﺣﺎﻭﻝ ﺗﺨﻔﻒ ﻣﻦ ﻋﻠﻴﻬﺎ ﻣﺘﺒﻘﺎﺵ ﻋﺎﻫﺔ ﻣﻦ ﺿﻤﻦﺍﻟﻌﺎﻫﺎﺕ ﺍﻟﻠﻰ ﺑﺘﻮﺍﺟﻬﻬﺎ #ﺍﺳﺘﺮﺟﻞ,NEUTRAL,779,2
الصفحة الرسمية والوحيدة ل علاء الأسواني على الفيس بوك,OBJ,785,3
راشد او مطلق ولد خالها أو ولد عمها بعدين تنتقل للإحتراف الخارجي ☺️ هههههههههههههه…,OBJ,793,3
ماهي مراحل جائزة آيكبي للأعمال؟ #الريادة #المدارس #,OBJ,794,3
رب لا تذرني فردا وأنت خير الوارثين ♡ #دعاء #دعائي #غرد_بذكر_الله #أدعية #يارب,OBJ,796,3
"حزب ""العدل"" يطالب بتأجيل الانتخابات التشريعية لحين استقرار الأوضاع الأمنية # #25 #",OBJ,812,3
-نوران ازيك -الحمد لله -وحشانى مابتسأليش ليه -وانتِ مش وحشانى ،انا اصلاً مابطئكيش ،ولا انتِ ، ادخلى فالموضوع عاوزه منى ايه ؟! #فى_عالم_موازى,OBJ,814,3
"إعلان برنامج ""مع التابعين"" #2_ #عمرو_خالد",OBJ,817,3
لاجديد ! فجمهور #شبكة_المجد يملكون من الوفاء والولاء ما تعجز عنه حروف الشكر والثناء مبادرة #بادرة_مجداوية لا نملك نحوها …,POS,836,1
أي حد عايز ينتخب فرعون يبقى يدور على آلة زمن ترجع به هو لوحده لعصر ما قبل الميلاد,NEG,853,0
خالد ابو بكرمحامي الشهداء قال انه لايعلم من صاحب القرار بمنع محاميي الشهداء وأسرهم من حضور محاكمة مبارك تقدم باكثر من شكوى بلا فائدة,OBJ,854,3
اللهم إني أشتاق لرؤياك و لكني مازلت أعصاك ، فـنقني و طهرني قبل أن ألقاك #نفسك_فى_أية_فى_الجنة_,OBJ,859,3
"بإذن الله سأشارك مع عدد من الدعاة في مؤتمر ""إحياء روح الإسلام "" الذي يقام سنويا في كندا بحضور آلاف من مسلمي الغرب",OBJ,864,3
تكثيف الهجوم على مائة من شباب الثورة وهم فى طريقهم للقاء متفق عليه مع مدير أمن القاهرة لوقف أعمال العنف شىء مريب يحدث,OBJ,869,3
اللهم استجب ياارب يارب #مصر_الليلة #كل_الناس #الشرقاء,OBJ,871,3
#تركيا #اسطنبول #تاريخ #تصويري #غرد_بصورة #المصورون_العرب #مارس #ابي_اسافر #انستا #انستغرام #انستقرام…,OBJ,879,3
المتجولون,OBJ,882,3
#حمدين_صباحى لو بقى رئيس هيوافق على قانون التظاهر وغلاء الاسعار والكهربا والغاز وبكره يشيلو دعم السولار بطلو فتى وافتكاسات بقى,NEG,888,0
شيخ المسجد مشغل المكروفون وبيقول بلطجية برا عابزين يموتونا ، وانا واقف برا وشايف بعيني الناس بتحاول تطلعهم وهم رافضين …,NEUTRAL,894,2
57 حالة إعتداء على صحفيين في #مصر خلال أسبوعين#العرب,OBJ,903,3
3: هاننتخبو عشان كدا #انتخبوا_اللي_شال_العرص #سأنتخب_السيسى_و_مش_هنزل_لمستواك,NEUTRAL,906,2
مهما حاولتم إقناع أنفسكم أن الشعب إختار دستور الإخوان دون تخويف أو لعب بالدين أو إنتهاكات ستظل الحقيقة أن مرسي كذب على المصريين ليمرر دستوره,NEG,916,0
هذه هى المناظره تماما كما أتصورها بين #حمدين و #المشير #السيسى ! #الكبير_كبير_متعملش_مناظرات_يا_مشير #سأنتخب_السيسي …,NEUTRAL,919,2
13 قتلى وأكثر من 450 مصاب في محافظات مختلفة، هذه مقدمات كارثية لاقتتال أهلي حذرت منه دوما وينبغي رفضه ومواجهته، كل الدم المصري حرام,NEG,920,0
#اخبار_مصر اليوم : #مختار_نوح: المواطنون بالقرى سيصوتون #_ #عبد_الفتاح_السيسى #حمدين_صباحى #اخبار,OBJ,927,3
#عن ناس بحلم انى عايش معاهم دلوقتى بعيد عن كل الناس ^_^,OBJ,928,3
11 قتيل بالتعذيب فى رابعة والنهضة,OBJ,939,3
"رســــــــــالة :) "":) كمل يقوافلجى #اسلوب_حياة",OBJ,940,3
#انتخبوا_البرص,NEG,947,0
أسَألك #اللهم فِي كُلّ يوم جَديد زَدتَهُ فِي حَياتنَا أن تَزيدَنا مَعَهُ إيماناً و رِزْقاً وَ سَعادَة وَ تَوفِيقاً صبحكم الله بالرضا والقبول,OBJ,950,3
الصندوق الثاني لاختيار المرشحين الفرديين،لابد من اختيار مرشح عمال و آخر فئات أو إثنين عمال إختيار مرشحين فئات فقط يبطل الصوت,OBJ,951,3
صوت الغرباء #دعم #فلو #ريتويت,OBJ,956,3
_: عاجل: حبس البير صابر 3 سنوات وكفالة 1000 جنيه في قضية ازدراء الاديان,OBJ,960,3
رووح يحرم نوم عيني لو يجيني و ما يجيبك لي حلم روح لو ضاعت سنيني بنتظارك مو خساره مو ظلم ♡ #عبدالمجيد,OBJ,964,3
#مصر |#حزب_الوسط | 269 يومًا على اعتقال المهندس #أبوالعلا_ماضي رئيس حزب الوسط ونائبه الأستاذ #عصام_سلطان اثنان …,OBJ,967,3
_22 اممم بص النتيجة واحدة نقي انت #ديموقراطية,OBJ,976,3
#رمضان_زمان ~ #رمضان_الان _323 #غرد_بصورة_تستحق_النشر,OBJ,977,3
سقوط الانقلاب وشيك لكن انصاره سقطوا فعلا فى عيون كل الاحرار,NEG,978,0
ما يحدث من الشرطة العسكرية ضد المتظاهرين السلميين غير مقبول ولا يمكن السماح به في مصر الثورة إهانة فى مصري هي إهانة للشعب المصري كله,NEG,980,0
بيفتح السمكة م…,OBJ,1002,3
الفرق بين دم الحجامة والدم العادي #غرد_بمعلومة,OBJ,1004,3
كيف لمرشدٍ تفوَّه للغنمِ بماءٍ تعلو على المرسي هل القائد يدلدل القدم دون أن يمتطي الكرسي تباً للصمت هلال الفشل ودمت أبيّ يا مصري,NEG,1006,0
من الطرفين,OBJ,1007,3
#سؤال: حد يعرف ليه #باسم خد اجازه النهارده ؟ :),OBJ,1008,3
سوريا مباشر: انفجار ضخم في مبنى حزب البعث بالقرب من دوار السبع بحرات في #حلب | مدونة #سوريا,OBJ,1009,3
التعذيب خط أحمر لا أتصور أن أحدا مهما كان عاقلا أو نصف عاقل أو خائف على مصر يمكن أن يوافق على التعذيب ولوجاء من الجيش ولو,NEG,1011,0
سولفي للرمل عن قصہ دفى واجمعي برد الشتاء وتلحفيہ احضني حلم الطفولہ يالمى، طيري في الجنہ وجناحك رفرفيہ ! #لمى_الروقي,OBJ,1012,3
أنا رايح فين؟ أنا راجع تاني #عمرو #الغربة,OBJ,1023,3
شاهد - آخر كلام: معايير تشكيل تأسيسية كتابة الدستور #,OBJ,1026,3
اثبت مكانك يا سيسي لا لأمريكا ومشروعها الإخواني الفاشل,NEUTRAL,1042,2
#عن #جواز_الصالونات اللي بيتعب الاعصاب,NEG,1043,0
#الشروق: 1300 مسلم يغادرون بانغي بمواكبة القوة الأفريقية: غادر حوالى 1300 مواطن مسلم كانوا يختبئون في محيط بان,OBJ,1044,3
تعلن لجنة الموارد البشرية وإدارة المتطوعين عن لقاء المتطوعين الجدد القادم بالحملة فى القاهرة يوم الاثنين القادم 5,OBJ,1049,3
